uid,species,latitude,longitude
6042,Acacia,-4.5374288,39.139728
5988,Eucalyptus,-4.5224921,39.1836801
5985,Eucalyptus,-4.5224869,39.1836769
5982,Eucalyptus,-4.5224796,39.1836572
5932,Eucalyptus,-4.4722812,39.1899285
5806,Musa,-4.3089696,39.4565392
5771,Musa,-4.2955492,39.4398417
5763,Eucalyptus,-4.2955415,39.4398358
5772,Musa,-4.2954878,39.4423249
5694,Musa,-4.0765856,39.4119583
5712,Musa,-4.0765548,39.4119787
5696,Eucalyptus,-4.076513,39.4119863
5699,Musa,-4.0765105,39.4119801
5705,Musa,-4.0764864,39.4119135
5695,Musa,-4.076391,39.4121397
5665,Acacia,-4.0006126,39.3975862
5667,Acacia,-4.0006117,39.3975765
6043,Acacia,-4.000412,39.3985954
5680,Acacia,-4.0003982,39.3985974
5652,Acacia,-3.9997049,39.3982666
5675,Eucalyptus,-3.9996672,39.3985723
5664,Acacia,-3.9996008,39.3985359
5656,Acacia,-3.9996008,39.3984232
5662,Acacia,-3.9995657,39.3984427
5668,Acacia,-3.9995174,39.3984937
5666,Acacia,-3.9995141,39.3984949
5217,Musa,-3.9912602,39.5944562
5208,Musa,-3.991225,39.5944993
5196,Musa,-3.9911765,39.594614
5186,Musa,-3.9911362,39.5946542
5216,Musa,-3.9911222,39.5947404
5211,Musa,-3.9911144,39.5947475
5207,Musa,-3.991076,39.5947581
5201,Musa,-3.9910715,39.5949772
5177,Musa,-3.9910539,39.5947716
5198,Musa,-3.9910515,39.5947798
5180,Musa,-3.9910446,39.594601
5200,Musa,-3.9910133,39.5948152
5209,Musa,-3.9910008,39.5949647
5206,Musa,-3.9909829,39.5949972
5195,Musa,-3.9909825,39.5950089
5187,Musa,-3.9909823,39.5948163
5183,Musa,-3.9909792,39.5949569
5210,Musa,-3.9909785,39.5949856
5212,Musa,-3.9909761,39.595003
5190,Musa,-3.990975,39.5950108
5203,Musa,-3.9908936,39.5949161
5205,Musa,-3.9908498,39.5949581
5298,Musa,-3.9804678,39.6283638
5318,Musa,-3.9784941,39.6559081
5647,Acacia,-3.9781507,39.4608079
5388,Musa,-3.9721152,39.6823483
5376,Acacia,-3.9720762,39.6820252
5387,Musa,-3.9720086,39.6820492
5391,Musa,-3.9720046,39.682049
5399,Musa,-3.9719908,39.6821701
5396,Musa,-3.9719885,39.6821723
5408,Musa,-3.9719734,39.6821936
5420,Musa,-3.9719666,39.6822144
5390,Musa,-3.9719635,39.681712
5422,Musa,-3.9719534,39.6822069
5404,Musa,-3.9719529,39.6820625
5425,Musa,-3.9719386,39.6822226
5401,Musa,-3.9719368,39.6823092
5406,Musa,-3.9719276,39.6823135
5423,Musa,-3.9719096,39.6823269
5426,Musa,-3.971902,39.6823283
5421,Musa,-3.971848,39.6821158
5415,Musa,-3.9718132,39.6818354
5434,Musa,-3.9717308,39.6822286
5375,Eucalyptus,-3.9666074,39.7319136
5454,Eucalyptus,-3.9487089,39.6849979
5461,Eucalyptus,-3.9486934,39.6850327
5458,Eucalyptus,-3.9486932,39.6850305
5443,Eucalyptus,-3.9486875,39.6850394
5465,Eucalyptus,-3.9486673,39.6850066
5475,Eucalyptus,-3.9486549,39.6851207
5469,Eucalyptus,-3.9486506,39.6851133
5491,Eucalyptus,-3.94859,39.6850428
5484,Eucalyptus,-3.9485897,39.6850444
5496,Eucalyptus,-3.9485779,39.6850637
5499,Eucalyptus,-3.9485572,39.6850968
5504,Eucalyptus,-3.9485566,39.6850973
5503,Acacia,-3.9484849,39.6849253
5490,Eucalyptus,-3.948475,39.6853944
5462,Eucalyptus,-3.9484617,39.6860087
5487,Eucalyptus,-3.9484573,39.685332
5451,Eucalyptus,-3.9484523,39.6860231
5478,Eucalyptus,-3.9484496,39.6860146
5444,Eucalyptus,-3.9484476,39.686013
5473,Eucalyptus,-3.9484452,39.6860198
5466,Eucalyptus,-3.9484437,39.6860124
5456,Eucalyptus,-3.9484404,39.6860186
5494,Eucalyptus,-3.9483943,39.6854218
5510,Eucalyptus,-3.9483914,39.6849202
5506,Eucalyptus,-3.948383,39.6854604
5497,Eucalyptus,-3.9483827,39.6854329
5502,Eucalyptus,-3.94838,39.685449
5508,Eucalyptus,-3.9483763,39.6849406
5513,Eucalyptus,-3.9483632,39.6855206
5505,Acacia,-3.9483129,39.685521
5509,Acacia,-3.9482121,39.6858208
5590,Musa,-3.9390791,39.6580579
5612,Musa,-3.939072,39.6581975
5613,Musa,-3.9390628,39.6581564
5582,Musa,-3.938823,39.6580206
5610,Musa,-3.938781,39.6584028
5592,Musa,-3.9386486,39.6578271
5602,Musa,-3.9386199,39.6577772
5524,Acacia,-3.9221109,39.6686863
5564,Acacia,-3.9218062,39.6680385
5549,Acacia,-3.9218052,39.6684647
5547,Acacia,-3.9218049,39.6683947
5559,Acacia,-3.9217948,39.6684515
5562,Acacia,-3.9217902,39.6684356
5560,Acacia,-3.9217691,39.668019
5553,Acacia,-3.9217393,39.6683386
5568,Acacia,-3.9216502,39.6681001
